time_period,start_date,end_date,selected,display_order
Q1 2020,2020-01-01,2020-03-31,FALSE,1
Q2 2020,2020-04-01,2020-06-30,TRUE,2
Q3 2020,2020-07-01,2020-09-30,TRUE,3
Q4 2020,2020-10-01,2020-12-31,TRUE,4
First Wave,2020-03-01,2020-06-30,TRUE,5
Second Wave,2020-09-01,2020-12-31,TRUE,6
Peak Months,2020-10-01,2020-12-31,TRUE,7
Full Year 2020,2020-01-01,2020-12-31,FALSE,8
March 2020,2020-03-01,2020-03-31,FALSE,9
April 2020,2020-04-01,2020-04-30,FALSE,10
November 2020,2020-11-01,2020-11-30,TRUE,11
December 2020,2020-12-01,2020-12-31,TRUE,12