country_name,iso3_code,latitude,longitude,total_cases_absolute,cases_per_100k,population_2020,misleading_flag
United States,USA,39.8283,-98.5795,20010019,6045,331002651,FALSE
India,IND,20.5937,78.9629,10266674,744,1380004385,TRUE
Brazil,BRA,-14.2350,-51.9253,7675973,3612,212559417,TRUE
Russia,RUS,61.5240,105.3188,3131550,2146,145934462,FALSE
France,FRA,46.2276,2.2137,2638482,4041,65273511,TRUE
Turkey,TUR,38.9637,35.2433,2208652,2619,84339067,FALSE
United Kingdom,GBR,55.3781,-3.4360,2329730,3433,67886011,FALSE
Italy,ITA,41.8719,12.5674,2107166,3487,60461826,FALSE
Spain,ESP,40.4637,-3.7492,1928265,4071,47351567,TRUE
Argentina,ARG,-38.4161,-63.6167,1590513,3520,45195774,FALSE
Germany,DEU,51.1657,10.4515,1687185,2014,83783942,FALSE
Iran,IRN,32.4279,53.6880,1225142,1459,83992949,FALSE
Poland,POL,51.9194,19.1451,1294878,3421,37846611,FALSE
Colombia,COL,4.5709,-74.2973,1752791,3446,50882891,FALSE
Ukraine,UKR,48.3794,31.1656,1057659,2421,43733762,FALSE
Mexico,MEX,23.6345,-102.5528,1426094,1105,128932753,TRUE
Peru,PER,-9.1900,-75.0152,996372,3020,32971854,FALSE
South Africa,ZAF,-30.5595,22.9375,1004413,1696,59308690,FALSE
Netherlands,NLD,52.1326,5.2913,740780,4321,17134872,TRUE
Belgium,BEL,50.5039,4.4699,645928,5576,11589623,TRUE
Iraq,IRQ,33.2232,43.6793,580473,1444,40222493,FALSE
Czechia,CZE,49.8175,15.4730,729126,6814,10708981,TRUE
Chile,CHL,-35.6751,-71.5430,611815,3203,19116201,FALSE
Bangladesh,BGD,23.6850,90.3563,508308,309,164689383,TRUE
Romania,ROU,45.9432,24.9668,620060,3225,19237691,FALSE
Philippines,PHL,12.8797,121.7740,474064,433,109581078,TRUE
Israel,ISR,31.0461,34.8516,400716,4373,9449323,TRUE
Pakistan,PAK,30.3753,69.3451,472672,214,220892340,TRUE
Canada,CAN,56.1304,-106.3468,552552,1464,37742154,FALSE
Sweden,SWE,60.1282,18.6435,434852,4306,10099265,TRUE